#acc	type_id	type_name	method_id	method_name	pmid	imexid	method_count	pmid_count	imexid_count
uniprotkb:P00856 (pp) uniprotkb:P30902	MI:0915|MI:0915	physical association|physical association	MI:0410|MI:0410	electron tomog|electron tomog	29650704|29650704	IM-27506-1|IM-27506-3	1	1	2
uniprotkb:P00830 (pp) uniprotkb:P07256	MI:0915	physical association	MI:0007	anti tag coip	21673659	IM-15826-3	1	1	1
uniprotkb:P00856 (pp) uniprotkb:P38077	MI:0915	physical association	MI:0410	electron tomog	29650704	IM-27506-1	1	1	1
uniprotkb:P00856 (pp) uniprotkb:Q12165	MI:0915|MI:0915	physical association|physical association	MI:0410|MI:0410	electron tomog|electron tomog	29650704|29650704	IM-27506-1|IM-27506-3	1	1	2
uniprotkb:P07257 (pp) uniprotkb:P23641	MI:0915	physical association	MI:0007	anti tag coip	21673659	IM-15826-3	1	1	1
uniprotkb:P04840 (pp) uniprotkb:P09435	MI:0915	physical association	MI:0007	anti tag coip	21673659	IM-15826-3	1	1	1
uniprotkb:P09457 (pp) uniprotkb:Q06405	MI:0915	physical association	MI:0410	electron tomog	29650704	IM-27506-1	1	1	1
uniprotkb:P00856 (pp) uniprotkb:Q06405	MI:0915|MI:0915	physical association|physical association	MI:0410|MI:0410	electron tomog|electron tomog	29650704|29650704	IM-27506-1|IM-27506-3	1	1	2
uniprotkb:P21306 (pp) uniprotkb:Q06405	MI:0915	physical association	MI:0410	electron tomog	29650704	IM-27506-1	1	1	1
uniprotkb:P07143 (pp) uniprotkb:Q01852	MI:0403	colocalization	MI:0028	solution sedimentati	16997298	IM-11451-1	1	1	1
uniprotkb:P00830 (pp) uniprotkb:P81450	MI:0915	physical association	MI:0410	electron tomog	29650704	IM-27506-1	1	1	1
uniprotkb:P38077 (pp) uniprotkb:P81450	MI:0915	physical association	MI:0410	electron tomog	29650704	IM-27506-1	1	1	1
uniprotkb:P40576 (pp) uniprotkb:Q12165	MI:0915	physical association	MI:0096	pull down	24942160	IM-23526-2	1	1	1
uniprotkb:P00854 (pp) uniprotkb:P21306	MI:0915	physical association	MI:0410	electron tomog	29650704	IM-27506-1	1	1	1
uniprotkb:P32585 (pp) uniprotkb:P33308	MI:0915	physical association	MI:0676	tap	19057509	IM-11673-1	1	1	1
