#acc	type_id	type_name	method_id	method_name	pmid	imexid	method_count	pmid_count	imexid_count
uniprotkb:P00830 (pp) uniprotkb:P36955	MI:0915	physical association	MI:0107	spr	20412062	IM-15707-3	1	1	1
uniprotkb:P32585 (pp) uniprotkb:P53114	MI:0915	physical association	MI:0676	tap	19057509	IM-11673-1	1	1	1
uniprotkb:P18239 (pp) uniprotkb:P48558	MI:0915	physical association	MI:0007	anti tag coip	21673659	IM-15826-3	1	1	1
uniprotkb:P02994 (pp) uniprotkb:P32585	MI:0915	physical association	MI:0676	tap	19057509	IM-11673-1	1	1	1
uniprotkb:P40576 (pp) uniprotkb:Q02888	MI:0915|MI:0915|MI:0407|MI:0915	physical association|physical association|direct interaction|physical association	MI:0096|MI:0007|MI:0096|MI:0096	pull down|anti tag coip|pull down|pull down	24942160|24942160|24942160|24942160	IM-23526-2|IM-23526-3|IM-23526-7|IM-23526-6	2	1	4
uniprotkb:P32585 (pp) uniprotkb:P39073	MI:0915	physical association	MI:0676	tap	19057509	IM-11673-1	1	1	1
uniprotkb:P21560 (pp) uniprotkb:P40576	MI:0915|MI:0915	physical association|physical association	MI:0096|MI:0007	pull down|anti tag coip	24942160|24942160	IM-23526-2|IM-23526-3	2	1	2
uniprotkb:P06576 (pp) uniprotkb:Q5TC12	MI:0407	direct interaction	MI:0018	2 hybrid	11410595	IM-19049-1	1	1	1
uniprotkb:P32585 (pp) uniprotkb:P40356	MI:0915	physical association	MI:0676	tap	19057509	IM-11673-1	1	1	1
uniprotkb:P36955 (pp) uniprotkb:Q12165	MI:0915	physical association	MI:0107	spr	20412062	IM-15707-3	1	1	1
uniprotkb:P07251 (pp) uniprotkb:P40576	MI:0915|MI:0915|MI:0915|MI:0915	physical association|physical association|physical association|physical association	MI:0096|MI:0096|MI:0007|MI:0096	pull down|pull down|anti tag coip|pull down	24942160|24942160|24942160|24942160	IM-23526-1|IM-23526-2|IM-23526-3|IM-23526-9	2	1	4
uniprotkb:P48558 (pp) uniprotkb:Q07817-1	MI:0915	physical association	MI:0007	anti tag coip	21673659	IM-15826-1	1	1	1
uniprotkb:P32585 (pp) uniprotkb:P47822	MI:0915	physical association	MI:0676	tap	19057509	IM-11673-1	1	1	1
uniprotkb:P09457 (pp) uniprotkb:P40576	MI:0915|MI:0915|MI:0915	physical association|physical association|physical association	MI:0096|MI:0007|MI:0096	pull down|anti tag coip|pull down	24942160|24942160|24942160	IM-23526-2|IM-23526-3|IM-23526-9	2	1	3
uniprotkb:P19263 (pp) uniprotkb:P32585	MI:0915	physical association	MI:0676	tap	19057509	IM-11673-1	1	1	1
uniprotkb:P25046 (pp) uniprotkb:P32585	MI:0915	physical association	MI:0676	tap	19057509	IM-11673-1	1	1	1
uniprotkb:P40576 (pp) uniprotkb:Q12165	MI:0915	physical association	MI:0096	pull down	24942160	IM-23526-2	1	1	1
uniprotkb:P32585 (pp) uniprotkb:Q12343	MI:0915	physical association	MI:0676	tap	19057509	IM-11673-1	1	1	1
uniprotkb:P00747 (pp) uniprotkb:P00830	MI:0915|MI:0915	physical association|physical association	MI:0107|MI:0405	spr|competition binding	20412062|20412062	IM-15707-4|IM-15707-5	2	1	2
uniprotkb:P07251 (pp) uniprotkb:P36955	MI:0915	physical association	MI:0107	spr	20412062	IM-15707-3	1	1	1
uniprotkb:P21306 (pp) uniprotkb:P36955	MI:0915	physical association	MI:0107	spr	20412062	IM-15707-3	1	1	1
uniprotkb:P36955 (pp) uniprotkb:P38077	MI:0915	physical association	MI:0107	spr	20412062	IM-15707-3	1	1	1
uniprotkb:P07257 (pp) uniprotkb:P48558	MI:0915	physical association	MI:0007	anti tag coip	21673659	IM-15826-3	1	1	1
uniprotkb:P32585 (pp) uniprotkb:Q08278	MI:0915	physical association	MI:0676	tap	19057509	IM-11673-1	1	1	1
uniprotkb:P00830 (pp) uniprotkb:P40576	MI:0915|MI:0915|MI:0915|MI:0915	physical association|physical association|physical association|physical association	MI:0096|MI:0096|MI:0007|MI:0096	pull down|pull down|anti tag coip|pull down	24942160|24942160|24942160|24942160	IM-23526-1|IM-23526-2|IM-23526-3|IM-23526-9	2	1	4
uniprotkb:P19659 (pp) uniprotkb:P32585	MI:0915	physical association	MI:0676	tap	19057509	IM-11673-1	1	1	1
uniprotkb:P00747 (pp) uniprotkb:P21306	MI:0915|MI:0915	physical association|physical association	MI:0107|MI:0405	spr|competition binding	20412062|20412062	IM-15707-4|IM-15707-5	2	1	2
uniprotkb:P00830 (pp) uniprotkb:P48558	MI:0915	physical association	MI:0007	anti tag coip	21673659	IM-15826-3	1	1	1
uniprotkb:P00747 (pp) uniprotkb:Q12165	MI:0915|MI:0915	physical association|physical association	MI:0107|MI:0405	spr|competition binding	20412062|20412062	IM-15707-4|IM-15707-5	2	1	2
uniprotkb:P32585 (pp) uniprotkb:P38077	MI:0915	physical association	MI:0676	tap	19057509	IM-11673-1	1	1	1
uniprotkb:P00830 (pp) uniprotkb:Q5TC12	MI:0407	direct interaction	MI:0018	2 hybrid	11410595	IM-19049-2	1	1	1
uniprotkb:P32570 (pp) uniprotkb:P32585	MI:0915	physical association	MI:0676	tap	19057509	IM-11673-1	1	1	1
uniprotkb:P32585 (pp) uniprotkb:Q9UHV7	MI:0915	physical association	MI:0676	tap	19057509	IM-11673-1	1	1	1
