P00830 (pp) Q12349	physical association	pull down
P00830 (pp) P30902	physical association	pull down
P00830 (pp) P81450	physical association	pull down
P00830 (pp) P07251	physical association	pull down
P00830 (pp) P38077	physical association	pull down
P00830 (pp) Q12165	physical association	pull down
P00830 (pp) P21306	physical association	pull down
P00830 (pp) Q06405	physical association	pull down
P00830 (pp) P09457	physical association	pull down
P00830 (pp) P05626	physical association	pull down
P81450 (pp) Q12349	physical association	electron tomog
P81450 (pp) Q12165	physical association	electron tomog
P81450 (pp) Q06405	physical association	electron tomog
P21306 (pp) Q12349	physical association	electron tomog
P21306 (pp) P81450	physical association	electron tomog
P21306 (pp) P30902	physical association	electron tomog
P21306 (pp) P61829	physical association	electron tomog
P21306 (pp) Q12165	physical association	electron tomog
P21306 (pp) P38077	physical association	electron tomog
P21306 (pp) Q06405	physical association	electron tomog
P00854 (pp) Q12349	physical association	electron tomog
P00854 (pp) P81450	physical association	electron tomog
P00854 (pp) P21306	physical association	electron tomog
P00854 (pp) P30902	physical association	electron tomog
P00854 (pp) P00856	physical association	electron tomog
P00854 (pp) P61829	physical association	electron tomog
P00854 (pp) P07251	physical association	electron tomog
P00854 (pp) Q12165	physical association	electron tomog
P00854 (pp) P05626	physical association	electron tomog
P00854 (pp) P38077	physical association	electron tomog
P00854 (pp) Q06405	physical association	electron tomog
P00854 (pp) P09457	physical association	electron tomog
P30902 (pp) Q12349	physical association	electron tomog
P30902 (pp) P81450	physical association	electron tomog
P30902 (pp) P61829	physical association	electron tomog
P30902 (pp) Q12165	physical association	electron tomog
P30902 (pp) P38077	physical association	electron tomog
P30902 (pp) Q06405	physical association	electron tomog
P00856 (pp) Q12349	physical association	electron tomog
P00856 (pp) P81450	physical association	electron tomog
P00856 (pp) P21306	physical association	electron tomog
P00856 (pp) P30902	physical association	electron tomog
P00856 (pp) P61829	physical association	electron tomog
P00856 (pp) P07251	physical association	electron tomog
P00856 (pp) Q12165	physical association	electron tomog
P00856 (pp) P05626	physical association	electron tomog
P00856 (pp) P38077	physical association	electron tomog
P00856 (pp) Q06405	physical association	electron tomog
P00856 (pp) P09457	physical association	electron tomog
P61829 (pp) Q12349	physical association	electron tomog
P61829 (pp) P81450	physical association	electron tomog
P61829 (pp) Q12165	physical association	electron tomog
P61829 (pp) Q06405	physical association	electron tomog
P07251 (pp) Q12349	physical association	electron tomog
P07251 (pp) P81450	physical association	electron tomog
P07251 (pp) P21306	physical association	electron tomog
P07251 (pp) P30902	physical association	electron tomog
P07251 (pp) P61829	physical association	electron tomog
P07251 (pp) Q12165	physical association	electron tomog
P07251 (pp) P38077	physical association	electron tomog
P07251 (pp) Q06405	physical association	electron tomog
P07251 (pp) P09457	physical association	electron tomog
P00830 (pp) Q12349	physical association	electron tomog
P00830 (pp) P81450	physical association	electron tomog
P00830 (pp) P21306	physical association	electron tomog
P00830 (pp) P00854	physical association	electron tomog
P00830 (pp) P30902	physical association	electron tomog
P00830 (pp) P00856	physical association	electron tomog
P00830 (pp) P61829	physical association	electron tomog
P00830 (pp) P07251	physical association	electron tomog
P00830 (pp) Q12165	physical association	electron tomog
P00830 (pp) P05626	physical association	electron tomog
P00830 (pp) P38077	physical association	electron tomog
P00830 (pp) Q06405	physical association	electron tomog
P00830 (pp) P09457	physical association	electron tomog
Q12165 (pp) Q12349	physical association	electron tomog
P05626 (pp) Q12349	physical association	electron tomog
P05626 (pp) P81450	physical association	electron tomog
P05626 (pp) P21306	physical association	electron tomog
P05626 (pp) P30902	physical association	electron tomog
P05626 (pp) P61829	physical association	electron tomog
P05626 (pp) P07251	physical association	electron tomog
P05626 (pp) Q12165	physical association	electron tomog
P05626 (pp) P38077	physical association	electron tomog
P05626 (pp) Q06405	physical association	electron tomog
P05626 (pp) P09457	physical association	electron tomog
P38077 (pp) Q12349	physical association	electron tomog
P38077 (pp) P81450	physical association	electron tomog
P38077 (pp) P61829	physical association	electron tomog
P38077 (pp) Q12165	physical association	electron tomog
P38077 (pp) Q06405	physical association	electron tomog
Q06405 (pp) Q12349	physical association	electron tomog
Q06405 (pp) Q12165	physical association	electron tomog
P09457 (pp) Q12349	physical association	electron tomog
P09457 (pp) P81450	physical association	electron tomog
P09457 (pp) P21306	physical association	electron tomog
P09457 (pp) P30902	physical association	electron tomog
P09457 (pp) P61829	physical association	electron tomog
P09457 (pp) Q12165	physical association	electron tomog
P09457 (pp) P38077	physical association	electron tomog
P09457 (pp) Q06405	physical association	electron tomog
