Gene ORF Names	Gene Common Names	Gene Function	Is Regulator?	YeastL51_[air+Hap1-]_rep1	YeastL51_[air+Hap1-]_rep2	YeastL51_[air+Hap1-]_rep3	YeastL51_[anaerobic_Hap1+]_1.5hrs_rep1	YeastL51_[anaerobic_Hap1+]_1.5hrs_rep2	YeastL51_[anaerobic_Hap1+]_1.5hrs_rep3	YeastL51_[air+Hap1+Co+]_rep1	YeastL51_[air+Hap1+Co+]_rep2	YeastL51_[air+Hap1+Co+]_rep3	YeastL51_[anaerobic_Hap1+]_6hrs_rep1	YeastL51_[anaerobic_Hap1+]_6hrs_rep2	YeastL51_[anaerobic_Hap1+]_6hrs_rep3	YeastL51_[anaerobic_Hap1-]_6hrs_rep1	YeastL51_[anaerobic_Hap1-]_6hrs_rep2	YeastL51_[anaerobic_Hap1-]_6hrs_rep3	YeastMHY100_[Heme-]_rep1	YeastMHY100_[Heme-]_rep2	YeastMHY100_[Heme-]_rep3
YAL001C	TFC3|FUN24|TSV115	RNA polymerase III transcription factor activity	FALSE	-0.239276752	1.400827711	0.239879207	-0.336493559	1.510663111	0.21794596	-0.176662146	1.640442712	-0.34703604	-0.686059857	0.158140852	-0.05498674	-0.514746217	0.369871648	-0.924230163	-0.014405814	-0.177167724	-0.117435776
YAL002W	VPS8|FUN15|VPT8	molecular function unknown	FALSE	-0.042259108	0.127210536	0.103046541	-0.174801679	0.390205198	0.590197917	0.113491556	-0.344792021	-0.283528452	0.021569645	0.009343113	0.657210283	0.122645924	-0.002344056	0.282398464	-0.09669149	0.422903911	-0.048109051
YAL003W	EFB1|EF-1 beta|TEF5	translation elongation factor activity	FALSE	-0.036713554	-0.082776497	0.00396624	0.099169677	-0.014592826	0.057394871	-0.035644196	0.055820108	0.016640001	-0.16687742	-0.215360587	-0.338747944	-0.265678809	-0.389198287	-0.191934914	0.506966129	-0.108704823	0.004141281
YAL004W	YAL004W	unknown	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008882729	0.397758223	0.827894432
YAL005C	SSA1|YG100	ATPase activity*	FALSE	0.141502673	0.261189307	0.818342082	0.223407533	0.815893487	1.381406636	0.04355254	0.349913653	-0.799400591	1.092585452	1.329584453	1.446367617	1.242545105	1.24938034	1.382170164	0.326476039	0.449221433	-0.185229863
YAL007C	ERP2	molecular function unknown	FALSE	0.016292403	-0.476823276	-0.001077135	-0.266334272	-0.548675044	0.406030632	-0.009003258	0.18061604	-0.061249913	-0.290371797	0.068402082	-0.265276626	-0.588495818	-0.058677124	-0.991066305	0.133504146	-0.876865266	-0.490197765
YAL008W	FUN14	molecular function unknown	FALSE	-0.032840813	0.404441143	0.117828573	-0.497270411	-0.346300772	0.814272241	0.04670838	2.218669779	-0.755913748	1.212670421	1.309904527	0.155307459	0.36529456	1.240557286	-0.287464895	-0.469122166	-0.851273047	-0.683657832
YAL009W	SPO7	molecular function unknown	FALSE	0.18831229	0.875817276	0.040289128	0.031866063	0.457082388	0.314084569	0.026486093	1.173942203	-0.21988447	0.418918572	0.814456998	-0.108325316	0.483231117	0.683421026	-0.312524168	-0.235032582	-0.273865112	-0.314669568
YAL010C	MDM10|FUN37	molecular function unknown	FALSE	0.184682331	-0.374571994	-0.077634145	0.914745181	0.700477005	0.475824741	0.277058551	-0.625071633	-0.515294631	0.891921264	0.314729702	-0.165358759	1.604745749	0.679022073	0.044598203	-0.119912221	0.203575116	-0.056644013
YAL011W	SWC3|SWC1	molecular function unknown	FALSE	-0.027478664	-0.899001155	0.145732877	0.486966551	0.495208315	-0.118519699	-0.05743347	-0.994728541	0.053309545	-0.981833381	-1.021571187	0.068789046	-0.295088732	-0.74109425	-0.514190465	-0.262457894	0.227882247	-0.00359841
